date,time,temp
2023-06-06,05:46:31,19.6
2023-06-06,05:55:55,19.7
2023-06-06,06:08:44,19.8
2023-06-06,06:20:04,19.9
2023-06-06,06:31:10,20.1
2023-06-06,06:46:33,20.9
2023-06-06,06:56:48,21.2
2023-06-06,07:12:11,21.9
2023-06-06,07:21:35,22.1
2023-06-06,07:31:50,22.3
2023-06-06,07:47:13,22.7
2023-06-06,08:02:36,23.4
2023-06-06,08:12:00,23.7
2023-06-06,08:22:15,24.1
2023-06-06,08:37:38,24.8
2023-06-06,08:47:53,25.2
2023-06-06,08:57:17,25.5
2023-06-06,09:12:40,25.8
2023-06-06,09:22:55,25.7
2023-06-06,09:38:18,25.8
2023-06-06,09:47:42,26.0
2023-06-06,10:03:05,26.3
2023-06-06,10:13:20,26.6
2023-06-06,10:28:43,27.1
2023-06-06,10:38:07,27.4
2023-06-06,10:48:22,27.7
2023-06-06,11:03:45,28.1
2023-06-06,11:18:17,28.3
2023-06-06,11:28:32,28.6
2023-06-06,11:38:47,28.9
2023-06-06,11:54:10,29.4
2023-06-06,12:04:25,29.7
2023-06-06,12:13:49,30.0
2023-06-06,12:29:12,30.4
2023-06-06,12:39:27,30.6
2023-06-06,12:54:50,31.1
2023-06-06,13:04:14,31.5
2023-06-06,13:19:37,32.2
2023-06-06,13:29:52,32.8
2023-06-06,13:45:15,33.3
2023-06-06,13:54:39,33.5
2023-06-06,14:04:54,33.9
2023-06-06,14:20:17,34.2
2023-06-06,14:34:49,34.3
2023-06-06,14:45:04,34.4
2023-06-06,15:10:43,34.6
2023-06-06,15:20:58,34.7
2023-06-06,15:30:22,34.5
2023-06-06,15:45:45,34.5
2023-06-06,15:56:00,34.6
2023-06-06,16:10:32,34.4
2023-06-06,16:20:47,34.1
2023-06-06,16:36:10,33.6
2023-06-06,16:46:25,33.3
2023-06-06,16:55:50,33.1
2023-06-06,17:11:13,32.9
2023-06-06,17:21:28,32.8
2023-06-06,17:36:51,32.3
2023-06-06,17:46:15,31.4
2023-06-06,17:56:30,30.6
2023-06-06,18:11:53,29.9
2023-06-06,18:26:25,29.4
2023-06-06,18:36:40,29.1
2023-06-06,18:46:55,28.9
2023-06-06,18:57:10,28.4
2023-06-06,19:07:25,28.1
2023-06-06,19:16:49,27.7
2023-06-06,19:27:04,27.4
2023-06-06,19:37:19,27.1
2023-06-06,19:51:51,26.9
2023-06-06,20:07:14,26.4
2023-06-06,20:27:57,25.9
2023-06-06,20:36:30,25.6
2023-06-06,20:48:08,25.3
2023-06-06,20:57:32,25.0
